,1-1001,1-1002,2-2001,3-3001,4-4001,5-5001,1-2001
1,300000,300000,300000,300000,300000,9999999999,
2,288237,300000,300000,300000,300000,9999999999,
3,276454,300000,300000,300000,300000,9999999999,
4,264683,300000,300000,300000,300000,9999999999,
5,252850,300000,300000,300000,300000,9999999999,
6,241037,300000,300000,300000,300000,9999999999,
7,229184,300000,300000,300000,300000,9999999999,
8,217278,300000,300000,300000,300000,9999999999,
9,205345,300000,300000,300000,300000,9999999999,
10,193495,300000,300000,300000,300000,9999999999,
11,181726,300000,300000,300000,300000,9999999999,
12,169879,300000,300000,300000,300000,9999999999,
13,158065,300000,300000,300000,300000,9999999999,
14,146276,300000,300000,300000,300000,9999999999,
15,134470,300000,300000,300000,300000,9999999999,
16,122555,300000,300000,300000,300000,9999999999,
17,110615,300000,300000,300000,300000,9999999999,
18,98628,300000,300000,300000,300000,9999999999,
19,86767,300000,300000,300000,300000,9999999999,
20,74954,300000,300000,300000,300000,9999999999,
21,63112,300000,300000,300000,300000,9999999999,
22,51288,300000,300000,300000,300000,9999999999,
23,39503,300000,300000,300000,300000,9999999999,
24,27730,300000,300000,300000,300000,9999999999,
25,15881,300000,213219,300000,300000,9999999999,
26,4027,300000,126438,300000,300000,9999999999,
27,4027,300000,39642,300000,300000,9999999999,
28,4027,300000,39642,300000,300000,9999999999,
29,4027,300000,39642,300000,300000,9999999999,
30,90808,300000,39642,300000,300000,9999999999,0.0
31,165713,300000,39642,300000,300000,9999999999,0.0
32,240617,300000,39642,300000,300000,9999999999,0.0
33,228748,300000,39642,300000,300000,9999999999,0.0
34,216951,300000,39642,300000,300000,9999999999,0.0
35,205118,300000,39642,300000,300000,9999999999,0.0
36,193331,300000,39642,300000,300000,9999999999,0.0
37,181591,300000,39642,300000,300000,9999999999,0.0
38,169899,300000,39642,300000,300000,9999999999,0.0
39,158254,300000,39642,300000,300000,9999999999,0.0
40,146620,300000,39642,300000,300000,9999999999,0.0
41,134950,300000,39642,300000,300000,9999999999,0.0
42,123248,300000,39642,300000,300000,9999999999,0.0
43,111540,300000,39642,300000,300000,9999999999,0.0
44,99788,300000,39642,300000,300000,9999999999,0.0
45,88058,300000,39642,300000,300000,9999999999,0.0
46,76290,300000,39642,300000,300000,9999999999,0.0
47,64495,300000,39642,300000,300000,9999999999,0.0
48,52725,300000,39642,300000,300000,9999999999,0.0
49,40960,300000,39642,300000,300000,9999999999,0.0
50,29165,300000,39642,300000,300000,9999999999,0.0
51,17366,300000,39642,300000,300000,9999999999,0.0
52,5579,300000,39642,300000,300000,9999999999,0.0
53,5579,300000,39642,300000,300000,9999999999,0.0
54,5579,300000,39642,300000,300000,9999999999,0.0
55,5579,300000,39642,300000,300000,9999999999,0.0
56,5579,300000,39642,300000,300000,9999999999,0.0
57,5579,300000,39642,300000,300000,9999999999,0.0
58,5579,300000,39642,300000,300000,9999999999,0.0
59,5579,300000,39642,300000,300000,9999999999,0.0
60,5579,300000,39642,300000,300000,9999999999,0.0
61,5579,300000,39642,300000,300000,9999999999,0.0
62,5579,300000,39642,300000,300000,9999999999,0.0
63,5579,300000,39642,300000,300000,9999999999,0.0
64,5579,300000,39642,300000,300000,9999999999,0.0
65,5579,300000,39642,300000,300000,9999999999,0.0
66,5579,300000,39642,300000,300000,9999999999,0.0
67,5579,300000,39642,300000,300000,9999999999,0.0
68,5579,300000,39642,300000,300000,9999999999,0.0
69,5579,300000,39642,300000,300000,9999999999,0.0
70,5579,300000,39642,300000,300000,9999999999,0.0
71,5579,300000,39642,300000,300000,9999999999,0.0
72,5579,300000,39642,300000,300000,9999999999,0.0
73,5579,300000,39642,300000,300000,9999999999,0.0
74,5579,300000,39642,300000,300000,9999999999,0.0
75,5579,300000,39642,300000,300000,9999999999,0.0
76,5579,300000,39642,300000,300000,9999999999,0.0
77,5579,300000,39642,300000,300000,9999999999,0.0
78,5579,300000,39642,300000,300000,9999999999,0.0
79,5579,300000,39642,300000,300000,9999999999,0.0
80,5579,300000,39642,300000,300000,9999999999,0.0
81,5579,300000,39642,300000,300000,9999999999,0.0
82,5579,300000,39642,300000,300000,9999999999,0.0
83,5579,300000,39642,300000,300000,9999999999,0.0
84,5579,300000,39642,300000,300000,9999999999,0.0
85,5579,300000,39642,300000,300000,9999999999,0.0
86,5579,300000,39642,300000,300000,9999999999,0.0
87,5579,300000,39642,300000,300000,9999999999,0.0
88,5579,300000,39642,300000,300000,9999999999,0.0
89,5579,300000,39642,300000,300000,9999999999,0.0
90,5579,300000,39642,300000,300000,9999999999,0.0
91,5579,300000,39642,300000,300000,9999999999,0.0
92,5579,300000,39642,300000,300000,9999999999,0.0
93,5579,300000,39642,300000,300000,9999999999,0.0
94,5579,300000,39642,300000,300000,9999999999,0.0
95,5579,300000,39642,300000,300000,9999999999,0.0
96,5579,300000,39642,300000,300000,9999999999,0.0
97,5579,300000,39642,300000,300000,9999999999,0.0
98,5579,300000,39642,300000,300000,9999999999,0.0
99,5579,300000,39642,300000,300000,9999999999,0.0
100,5579,300000,39642,300000,300000,9999999999,0.0
101,5579,300000,39642,300000,300000,9999999999,0.0
102,5579,300000,39642,300000,300000,9999999999,0.0
103,5579,300000,39642,300000,300000,9999999999,0.0
104,5579,300000,39642,300000,300000,9999999999,0.0
105,5579,300000,39642,300000,300000,9999999999,0.0
106,5579,300000,39642,300000,300000,9999999999,0.0
107,5579,300000,39642,300000,300000,9999999999,0.0
108,5579,300000,39642,300000,300000,9999999999,0.0
109,5579,300000,39642,300000,300000,9999999999,0.0
110,5579,300000,39642,300000,300000,9999999999,0.0
111,5579,300000,39642,300000,300000,9999999999,0.0
112,5579,300000,39642,300000,300000,9999999999,0.0
113,5579,300000,39642,300000,300000,9999999999,0.0
114,5579,300000,39642,300000,300000,9999999999,0.0
115,5579,300000,39642,300000,300000,9999999999,0.0
116,5579,300000,39642,300000,300000,9999999999,0.0
117,5579,300000,39642,300000,300000,9999999999,0.0
118,5579,300000,39642,300000,300000,9999999999,0.0
119,5579,300000,39642,300000,300000,9999999999,0.0
120,5579,300000,39642,300000,300000,9999999999,0.0
121,5579,300000,39642,300000,300000,9999999999,0.0
122,5579,300000,39642,300000,300000,9999999999,0.0
123,5579,300000,39642,300000,300000,9999999999,0.0
124,5579,300000,39642,300000,300000,9999999999,0.0
125,5579,300000,39642,300000,300000,9999999999,0.0
126,5579,300000,39642,300000,300000,9999999999,0.0
127,5579,300000,39642,300000,300000,9999999999,0.0
128,5579,300000,39642,300000,300000,9999999999,0.0
129,5579,300000,39642,300000,300000,9999999999,0.0
130,5579,300000,39642,300000,300000,9999999999,0.0
131,5579,300000,39642,300000,300000,9999999999,0.0
132,5579,300000,39642,300000,300000,9999999999,0.0
133,5579,300000,39642,300000,300000,9999999999,0.0
134,5579,300000,39642,300000,300000,9999999999,0.0
135,5579,300000,39642,300000,300000,9999999999,0.0
136,5579,300000,39642,300000,300000,9999999999,0.0
137,5579,300000,39642,300000,300000,9999999999,0.0
138,5579,300000,39642,300000,300000,9999999999,0.0
139,5579,300000,39642,300000,300000,9999999999,0.0
140,5579,300000,39642,300000,300000,9999999999,0.0
141,5579,300000,39642,300000,300000,9999999999,0.0
142,5579,300000,39642,300000,300000,9999999999,0.0
143,5579,300000,39642,300000,300000,9999999999,0.0
144,5579,300000,39642,300000,300000,9999999999,0.0
145,5579,300000,39642,300000,300000,9999999999,0.0
146,5579,300000,39642,300000,300000,9999999999,0.0
147,5579,300000,39642,300000,300000,9999999999,0.0
148,5579,300000,39642,300000,300000,9999999999,0.0
149,5579,300000,39642,300000,300000,9999999999,0.0
150,5579,300000,39642,300000,300000,9999999999,0.0
151,5579,300000,39642,300000,300000,9999999999,0.0
152,5579,300000,39642,300000,300000,9999999999,0.0
153,5579,300000,39642,300000,300000,9999999999,0.0
154,5579,300000,39642,300000,300000,9999999999,0.0
155,5579,300000,39642,300000,300000,9999999999,0.0
156,5579,300000,39642,300000,300000,9999999999,0.0
157,5579,300000,39642,300000,300000,9999999999,0.0
158,5579,300000,39642,300000,300000,9999999999,0.0
159,5579,300000,39642,300000,300000,9999999999,0.0
160,5579,300000,39642,300000,300000,9999999999,0.0
161,5579,300000,39642,300000,300000,9999999999,0.0
162,5579,300000,39642,300000,300000,9999999999,0.0
163,5579,300000,39642,300000,300000,9999999999,0.0
164,5579,300000,39642,300000,300000,9999999999,0.0
165,5579,300000,39642,300000,300000,9999999999,0.0
166,5579,300000,39642,300000,300000,9999999999,0.0
167,5579,300000,39642,300000,300000,9999999999,0.0
168,5579,300000,39642,300000,300000,9999999999,0.0
169,5579,300000,39642,300000,300000,9999999999,0.0
170,5579,300000,39642,300000,300000,9999999999,0.0
171,5579,300000,39642,300000,300000,9999999999,0.0
172,5579,300000,39642,300000,300000,9999999999,0.0
173,5579,300000,39642,300000,300000,9999999999,0.0
174,5579,300000,39642,300000,300000,9999999999,0.0
175,5579,300000,39642,300000,300000,9999999999,0.0
176,5579,300000,39642,300000,300000,9999999999,0.0
177,5579,300000,39642,300000,300000,9999999999,0.0
178,5579,300000,39642,300000,300000,9999999999,0.0
179,5579,300000,39642,300000,300000,9999999999,0.0
180,5579,300000,39642,300000,300000,9999999999,0.0
181,5579,300000,39642,300000,300000,9999999999,0.0
182,5579,300000,39642,300000,300000,9999999999,0.0
183,5579,300000,39642,300000,300000,9999999999,0.0
184,5579,300000,39642,300000,300000,9999999999,0.0
185,5579,300000,39642,300000,300000,9999999999,0.0
186,5579,300000,39642,300000,300000,9999999999,0.0
187,5579,300000,39642,300000,300000,9999999999,0.0
188,5579,300000,39642,300000,300000,9999999999,0.0
189,5579,300000,39642,300000,300000,9999999999,0.0
190,5579,300000,39642,300000,300000,9999999999,0.0
191,5579,300000,39642,300000,300000,9999999999,0.0
192,5579,300000,39642,300000,300000,9999999999,0.0
193,5579,300000,39642,300000,300000,9999999999,0.0
194,5579,300000,39642,300000,300000,9999999999,0.0
195,5579,300000,39642,300000,300000,9999999999,0.0
196,5579,300000,39642,300000,300000,9999999999,0.0
197,5579,300000,39642,300000,300000,9999999999,0.0
198,5579,300000,39642,300000,300000,9999999999,0.0
199,5579,300000,39642,300000,300000,9999999999,0.0
200,5579,300000,39642,300000,300000,9999999999,0.0
201,5579,300000,39642,300000,300000,9999999999,0.0
202,5579,300000,39642,300000,300000,9999999999,0.0
203,5579,300000,39642,300000,300000,9999999999,0.0
204,5579,300000,39642,300000,300000,9999999999,0.0
205,5579,300000,39642,300000,300000,9999999999,0.0
206,5579,300000,39642,300000,300000,9999999999,0.0
207,5579,300000,39642,300000,300000,9999999999,0.0
208,5579,300000,39642,300000,300000,9999999999,0.0
209,5579,300000,39642,300000,300000,9999999999,0.0
210,5579,300000,39642,300000,300000,9999999999,0.0
211,5579,300000,39642,300000,300000,9999999999,0.0
212,5579,300000,39642,300000,300000,9999999999,0.0
213,5579,300000,39642,300000,300000,9999999999,0.0
214,5579,300000,39642,300000,300000,9999999999,0.0
215,5579,300000,39642,300000,300000,9999999999,0.0
216,5579,300000,39642,300000,300000,9999999999,0.0
217,5579,300000,39642,300000,300000,9999999999,0.0
218,5579,300000,39642,300000,300000,9999999999,0.0
219,5579,300000,39642,300000,300000,9999999999,0.0
220,5579,300000,39642,300000,300000,9999999999,0.0
221,5579,300000,39642,300000,300000,9999999999,0.0
222,5579,300000,39642,300000,300000,9999999999,0.0
223,5579,300000,39642,300000,300000,9999999999,0.0
224,5579,300000,39642,300000,300000,9999999999,0.0
225,5579,300000,39642,300000,300000,9999999999,0.0
226,5579,300000,39642,300000,300000,9999999999,0.0
227,5579,300000,39642,300000,300000,9999999999,0.0
228,5579,300000,39642,300000,300000,9999999999,0.0
229,5579,300000,39642,300000,300000,9999999999,0.0
230,5579,300000,39642,300000,300000,9999999999,0.0
231,5579,300000,39642,300000,300000,9999999999,0.0
232,5579,300000,39642,300000,300000,9999999999,0.0
233,5579,300000,39642,300000,300000,9999999999,0.0
234,5579,300000,39642,300000,300000,9999999999,0.0
235,5579,300000,39642,300000,300000,9999999999,0.0
236,5579,300000,39642,300000,300000,9999999999,0.0
237,5579,300000,39642,300000,300000,9999999999,0.0
238,5579,300000,39642,300000,300000,9999999999,0.0
239,5579,300000,39642,300000,300000,9999999999,0.0
240,5579,300000,39642,300000,300000,9999999999,0.0
241,5579,300000,39642,300000,300000,9999999999,0.0
242,5579,300000,39642,300000,300000,9999999999,0.0
243,5579,300000,39642,300000,300000,9999999999,0.0
244,5579,300000,39642,300000,300000,9999999999,0.0
245,5579,300000,39642,300000,300000,9999999999,0.0
246,5579,300000,39642,300000,300000,9999999999,0.0
247,5579,300000,39642,300000,300000,9999999999,0.0
248,5579,300000,39642,300000,300000,9999999999,0.0
249,5579,300000,39642,300000,300000,9999999999,0.0
250,5579,300000,39642,300000,300000,9999999999,0.0
251,5579,300000,39642,300000,300000,9999999999,0.0
252,5579,300000,39642,300000,300000,9999999999,0.0
253,5579,300000,39642,300000,300000,9999999999,0.0
254,5579,300000,39642,300000,300000,9999999999,0.0
255,5579,300000,39642,300000,300000,9999999999,0.0
256,5579,300000,39642,300000,300000,9999999999,0.0
257,5579,300000,39642,300000,300000,9999999999,0.0
258,5579,300000,39642,300000,300000,9999999999,0.0
259,5579,300000,39642,300000,300000,9999999999,0.0
260,5579,300000,39642,300000,300000,9999999999,0.0
261,5579,300000,39642,300000,300000,9999999999,0.0
262,5579,300000,39642,300000,300000,9999999999,0.0
263,5579,300000,39642,300000,300000,9999999999,0.0
264,5579,300000,39642,300000,300000,9999999999,0.0
265,5579,300000,39642,300000,300000,9999999999,0.0
266,5579,300000,39642,300000,300000,9999999999,0.0
267,5579,300000,39642,300000,300000,9999999999,0.0
268,5579,300000,39642,300000,300000,9999999999,0.0
269,5579,300000,39642,300000,300000,9999999999,0.0
270,5579,300000,39642,300000,300000,9999999999,0.0
271,5579,300000,39642,300000,300000,9999999999,0.0
272,5579,300000,39642,300000,300000,9999999999,0.0
273,5579,300000,39642,300000,300000,9999999999,0.0
274,5579,300000,39642,300000,300000,9999999999,0.0
275,5579,300000,39642,300000,300000,9999999999,0.0
276,5579,300000,39642,300000,300000,9999999999,0.0
277,5579,300000,39642,300000,300000,9999999999,0.0
278,5579,300000,39642,300000,300000,9999999999,0.0
279,5579,300000,39642,300000,300000,9999999999,0.0
280,5579,300000,39642,300000,300000,9999999999,0.0
281,5579,300000,39642,300000,300000,9999999999,0.0
282,5579,300000,39642,300000,300000,9999999999,0.0
283,5579,300000,39642,300000,300000,9999999999,0.0
284,5579,300000,39642,300000,300000,9999999999,0.0
285,5579,300000,39642,300000,300000,9999999999,0.0
286,5579,300000,39642,300000,300000,9999999999,0.0
287,5579,300000,39642,300000,300000,9999999999,0.0
288,5579,300000,39642,300000,300000,9999999999,0.0
289,5579,300000,39642,300000,300000,9999999999,0.0
290,5579,300000,39642,300000,300000,9999999999,0.0
291,5579,300000,39642,300000,300000,9999999999,0.0
292,5579,300000,39642,300000,300000,9999999999,0.0
293,5579,300000,39642,300000,300000,9999999999,0.0
294,5579,300000,39642,300000,300000,9999999999,0.0
295,5579,300000,39642,300000,300000,9999999999,0.0
296,5579,300000,39642,300000,300000,9999999999,0.0
297,5579,300000,39642,300000,300000,9999999999,0.0
298,5579,300000,39642,300000,300000,9999999999,0.0
299,5579,300000,39642,300000,300000,9999999999,0.0
300,5579,300000,39642,300000,300000,9999999999,0.0
301,5579,300000,39642,300000,300000,9999999999,0.0
302,5579,300000,39642,300000,300000,9999999999,0.0
303,5579,300000,39642,300000,300000,9999999999,0.0
304,5579,300000,39642,300000,300000,9999999999,0.0
305,5579,300000,39642,300000,300000,9999999999,0.0
306,5579,300000,39642,300000,300000,9999999999,0.0
307,5579,300000,39642,300000,300000,9999999999,0.0
308,5579,300000,39642,300000,300000,9999999999,0.0
309,5579,300000,39642,300000,300000,9999999999,0.0
310,5579,300000,39642,300000,300000,9999999999,0.0
311,5579,300000,39642,300000,300000,9999999999,0.0
312,5579,300000,39642,300000,300000,9999999999,0.0
313,5579,300000,39642,300000,300000,9999999999,0.0
314,5579,300000,39642,300000,300000,9999999999,0.0
315,5579,300000,39642,300000,300000,9999999999,0.0
316,5579,300000,39642,300000,300000,9999999999,0.0
317,5579,300000,39642,300000,300000,9999999999,0.0
318,5579,300000,39642,300000,300000,9999999999,0.0
319,5579,300000,39642,300000,300000,9999999999,0.0
320,5579,300000,39642,300000,300000,9999999999,0.0
321,5579,300000,39642,300000,300000,9999999999,0.0
322,5579,300000,39642,300000,300000,9999999999,0.0
323,5579,300000,39642,300000,300000,9999999999,0.0
324,5579,300000,39642,300000,300000,9999999999,0.0
325,5579,300000,39642,300000,300000,9999999999,0.0
326,5579,300000,39642,300000,300000,9999999999,0.0
327,5579,300000,39642,300000,300000,9999999999,0.0
328,5579,300000,39642,300000,300000,9999999999,0.0
329,5579,300000,39642,300000,300000,9999999999,0.0
330,5579,300000,39642,300000,300000,9999999999,0.0
331,5579,300000,39642,300000,300000,9999999999,0.0
332,5579,300000,39642,300000,300000,9999999999,0.0
333,5579,300000,39642,300000,300000,9999999999,0.0
334,5579,300000,39642,300000,300000,9999999999,0.0
335,5579,300000,39642,300000,300000,9999999999,0.0
336,5579,300000,39642,300000,300000,9999999999,0.0
337,5579,300000,39642,300000,300000,9999999999,0.0
338,5579,300000,39642,300000,300000,9999999999,0.0
339,5579,300000,39642,300000,300000,9999999999,0.0
340,5579,300000,39642,300000,300000,9999999999,0.0
341,5579,300000,39642,300000,300000,9999999999,0.0
342,5579,300000,39642,300000,300000,9999999999,0.0
343,5579,300000,39642,300000,300000,9999999999,0.0
344,5579,300000,39642,300000,300000,9999999999,0.0
345,5579,300000,39642,300000,300000,9999999999,0.0
346,5579,300000,39642,300000,300000,9999999999,0.0
347,5579,300000,39642,300000,300000,9999999999,0.0
348,5579,300000,39642,300000,300000,9999999999,0.0
349,5579,300000,39642,300000,300000,9999999999,0.0
350,5579,300000,39642,300000,300000,9999999999,0.0
351,5579,300000,39642,300000,300000,9999999999,0.0
352,5579,300000,39642,300000,300000,9999999999,0.0
353,5579,300000,39642,300000,300000,9999999999,0.0
354,5579,300000,39642,300000,300000,9999999999,0.0
355,5579,300000,39642,300000,300000,9999999999,0.0
356,5579,300000,39642,300000,300000,9999999999,0.0
357,5579,300000,39642,300000,300000,9999999999,0.0
358,5579,300000,39642,300000,300000,9999999999,0.0
359,5579,300000,39642,300000,300000,9999999999,0.0
360,5579,300000,39642,300000,300000,9999999999,0.0
361,5579,300000,39642,300000,300000,9999999999,0.0
362,5579,300000,39642,300000,300000,9999999999,0.0
363,5579,300000,39642,300000,300000,9999999999,0.0
364,5579,300000,39642,300000,300000,9999999999,0.0
365,5579,300000,39642,300000,300000,9999999999,0.0
